"","Original","Adjusted","VSpNm","genus","family","life_form","code","txresol","life_form_w","threat_st"
"668","Luehea sesmannii","Luehea seemannii","Luehea seemannii","Luehea","Malvaceae","tree","Luehseem","species","tree",NA
"669","Luehea speciosa","Luehea speciosa","Luehea speciosa","Luehea","Malvaceae",NA,"Luehspeci","species","tree",NA
"670","Lueheopsis sp","Lueheopsis sp","Lueheopsis","Lueheopsis",NA,NA,"Luehsp","genus",NA,NA
"671","Lycium tweidianum","Lycium tweidianum","Lycium tweedianum","Lycium",NA,NA,"Lycitweed","species",NA,NA
"672","Mabea montana","Mabea montana","Mabea montana","Mabea","Euphorbiaceae",NA,"Mabemonta","species","tree",NA
"673","Mabea sp","Mabea sp","Mabea","Mabea","Euphorbiaceae",NA,"Mabesp","genus",NA,NA
"674","Mabea trianae","Mabea trianae","Mabea trianae","Mabea","Euphorbiaceae","tree","Mabetria","species","tree",NA
"675","Macaherium sp","Machaerium sp","Machaerium","Machaerium","Fabaceae","liana","Machsp","genus","liana",NA
"676","Machaenium capote","Machaerium capote","Machaerium capote","Machaerium","Fabaceae","tree","Machcapo","species","tree",NA
"677","Machaerium arboreum","Machaerium arboreum","Machaerium arboreum","Machaerium","Fabaceae","tree","Macharbo","species","tree",NA
"678","Machaerium biovolatum","Machaerium biovulatum","Machaerium biovulatum","Machaerium","Fabaceae","tree","Machbiov","species","tree",NA
"679","Machaerium biovulatum","Machaerium biovulatum","Machaerium biovulatum","Machaerium","Fabaceae","tree","Machbiov","species","tree",NA
"680","Machaerium capote","Machaerium capote","Machaerium capote","Machaerium","Fabaceae","tree","Machcapo","species","tree",NA
"681","Machaerium macrophillum","Machaerium microphyllum","Machaerium microphyllum","Machaerium","Fabaceae","liana","Machmicr","species","liana",NA
"682","Machaerium macrophyllum","Machaerium microphyllum","Machaerium microphyllum","Machaerium","Fabaceae","liana","Machmicr","species","liana",NA
"683","Machaerium rohrii","Machaerium rohrii","Machaerium","Machaerium","Fabaceae","liana","Machsp","genus","liana",NA
"684","Machaerium sp","Machaerium sp","Machaerium","Machaerium","Fabaceae","liana","Machsp","genus","liana",NA
"685","Machaerum capote","Machaerium capote","Machaerium capote","Machaerium","Fabaceae","tree","Machcapo","species","tree",NA
"686","Machaesium capote","Machaerium capote","Machaerium capote","Machaerium","Fabaceae","tree","Machcapo","species","tree",NA
"687","Maclura sp","Maclura sp","Maclura","Maclura","Moraceae",NA,"Maclsp","genus",NA,NA
"688","Maclura ticntoria","Maclura tinctoria","Maclura tinctoria","Maclura","Moraceae","tree","Macltinc","species","tree",NA
"689","Maclura tinctorea","Maclura tinctoria","Maclura tinctoria","Maclura","Moraceae","tree","Macltinc","species","tree",NA
"690","Maclura tinctoria","Maclura tinctoria","Maclura tinctoria","Maclura","Moraceae","tree","Macltinc","species","tree",NA
"691","Maclura tintorea","Maclura tinctoria","Maclura tinctoria","Maclura","Moraceae","tree","Macltinc","species","tree",NA
"692","Macrolobium multijugum","Macrolobium multijugum","Macrolobium multijugum","Macrolobium",NA,NA,"Macrmulti","species","tree",NA
"693","Madiaerium capote","Madiaerium capote","Machaerium capote","Machaerium","Fabaceae","tree","Machcapo","species","tree",NA
"694","Malphigia cf glabra","Malpighia glabra","Malpighia glabra","Malpighia","Malpighiaceae","tree","Malpglab","species","tree",NA
"695","Malphigiaceae sp","Malpighiaceae","Malpighiaceae","Malpighiaceae",NA,NA,"Malpfm","family",NA,NA
"696","Malphygiaceae sp","Malpighiaceae","Malpighiaceae","Malpighiaceae",NA,NA,"Malpfm","family",NA,NA
"697","Malpighia glabra","Malpighia glabra","Malpighia glabra","Malpighia","Malpighiaceae","tree","Malpglab","species","tree",NA
"698","Malpighia punicifolia","Malpighia punicifolia","Malpighia punicifolia","Malpighia","Malpighiaceae",NA,"Malppunic","species","tree",NA
"699","Malpighia sp","Malpighia sp","Malpighia","Malpighia","Malpighiaceae",NA,"Malpsp","genus",NA,NA
"700","Malvaceae amarilla","Malvaceae","Malvaceae","Malvaceae",NA,NA,"Malvfm","family",NA,NA
"701","Mandevilla lacifolia","Mandevilla lacifolia","Mandevilla lancifolia","Mandevilla","Apocynaceae",NA,"Mandlanci","species","treelet",NA
"702","Mangifera indica","Mangifera indica","Mangifera indica","Mangifera","Anacardiaceae","tree","Mangindi","species","tree",NA
"703","Manguifera indica","Mangifera indica","Mangifera indica","Mangifera","Anacardiaceae","tree","Mangindi","species","tree",NA
"704","Manihot carthagenensis","Manihot carthagenensis","Manihot carthagenensis","Manihot","Euphorbiaceae",NA,"Manicarth","species","tree","LC"
"705","Manihot esculenta","Manihot esculenta","Manihot esculenta","Manihot","Euphorbiaceae",NA,"Maniescul","species","treelet",NA
"706","Manihot tristis","Manihot tristis","Manihot tristis","Manihot","Euphorbiaceae",NA,"Manitrist","species","treelet",NA
"707","Maprounea guianensis","Maprounea guianensis","Maprounea guianensis","Maprounea","Euphorbiaceae","tree","Maprguia","species","tree",NA
"708","Maquira coriacea","Maquira coriacea","Maquira coriacea","Maquira",NA,NA,"Maqucoria","species","tree",NA
"709","Margaritaria nobilis","Margaritaria nobilis","Margaritaria nobilis","Margaritaria","Phyllanthaceae","treelet","Margnobi","species","treelet","LC"
"710","Matarraton sp","Gliricidia sepium","Gliricidia sepium","Gliricidia","Fabaceae","tree","Glirsepi","species","tree",NA
"711","Matayba arboresc","Matayba arborescens","Matayba arborescens","Matayba","Sapindaceae",NA,"Mataarbor","species","tree",NA
"712","Matayba arborescens","Matayba arborescens","Matayba arborescens","Matayba","Sapindaceae",NA,"Mataarbor","species","tree",NA
"713","Matayba guianensis","Matayba guianensis","Matayba guianensis","Matayba","Sapindaceae",NA,"Mataguian","species","tree",NA
"714","Maurea sp","Maurea sp","Maurea","Maurea",NA,NA,"Maursp","genus",NA,NA
"715","Megathyrsus maximus","Megathyrsus maximus","Megathyrsus maximus","Megathyrsus",NA,NA,"Megamaxim","species","treelet",NA
"716","Melicoccus bijugatus","Melicoccus bijugatus","Melicoccus bijugatus","Melicoccus","Sapindaceae","tree","Melibiju","species","tree",NA
"717","Melicoccus oliviformis","Melicoccus oliviformis","Melicoccus oliviformis","Melicoccus","Sapindaceae","tree","Melioliv","species","tree",NA
"718","Melicoccus sp","Melicoccus sp","Melicoccus","Melicoccus","Sapindaceae",NA,"Melisp","genus",NA,NA
"719","Melicocus bijugatus","Melicoccus bijugatus","Melicoccus bijugatus","Melicoccus","Sapindaceae","tree","Melibiju","species","tree",NA
"720","Melocactus curvispinus","Melocactus curvispinus","Melocactus curvispinus","Melocactus",NA,NA,"Melocurvi","species",NA,NA
"721","Melocactus mazelianus","Melocactus mazelianus","Melocactus mazelianus","Melocactus",NA,NA,"Melomazel","species",NA,NA
"722","Melocaptus sp","Melocactus sp","Melocactus","Melocactus",NA,NA,"Melosp","genus",NA,NA
"723","Mentzelia scabra","Mentzelia scabra","Mentzelia scabra","Mentzelia",NA,NA,"Mentscabr","species",NA,NA
"724","Miconia albicans","Miconia albicans","Miconia albicans","Miconia","Melastomataceae",NA,"Micoalbic","species","tree",NA
"725","Miconia holosericea","Miconia holosericea","Miconia holosericea","Miconia","Melastomataceae",NA,"Micoholos","species","tree",NA
"726","Miconia minutiflora","Miconia minutiflora","Miconia minutiflora","Miconia","Melastomataceae",NA,"Micominut","species","tree",NA
"727","Miconia multispicata","Miconia multispicata","Miconia multispicata","Miconia","Melastomataceae","tree","Micomult","species","tree",NA
"728","Miconia sp","Miconia sp","Miconia","Miconia","Melastomataceae","shrub","Micosp","genus","shrub",NA
"729","Miconia ternatifolia","Miconia ternatifolia","Miconia ternatifolia","Miconia","Melastomataceae",NA,"Micoterna","species","tree",NA
"730","Mikania sp","Mikania sp","Mikania","Mikania",NA,NA,"Mikasp","genus",NA,NA
"731","Mimosa albida","Mimosa albida","Mimosa albida","Mimosa",NA,NA,"Mimoalbid","species",NA,NA
"732","Mimosa colombiana","Mimosa colombiana","Mimosa colombiana","Mimosa",NA,NA,"Mimocolom","species",NA,NA
"733","Mimosa sp","Mimosa sp","Mimosa","Mimosa",NA,NA,"Mimosp","genus",NA,NA
"734","Mimosa trianae","Mimosa trianae","Mimosa trianae","Mimosa",NA,NA,"Mimotrian","species",NA,NA
"735","Moho sp","Cordia sp","Cordia","Cordia","Boraginaceae","tree","Cordsp","genus","tree",NA
"736","Monstera adansonii","Monstera adansonii","Monstera adansonii","Monstera",NA,NA,"Monsadans","species","liana",NA
"737","Monvillea sp","Monvillea sp","Monvillea","Monvillea",NA,NA,"Monvsp","genus",NA,NA
"738","Moraceae sp","Moraceae","Moraceae","Moraceae",NA,NA,"Morafm","family",NA,NA
"739","Morisonia americana","Morisonia americana","Morisonia americana","Morisonia","Capparaceae","tree","Moriamer","species","tree",NA
"740","Mouriri sp","Mouriri sp","Mouriri","Mouriri",NA,NA,"Moursp","genus",NA,NA
"741","Muntigia calabura","Muntingia calabura","Muntingia calabura","Muntingia",NA,NA,"Muntcalab","species","tree",NA
"742","Muntingia calabura","Muntingia calabura","Muntingia calabura","Muntingia",NA,NA,"Muntcalab","species","tree",NA
"743","Muntingia sp","Muntingia sp","Muntingia","Muntingia",NA,NA,"Muntsp","genus",NA,NA
"744","Musa paradisiaca","Musa paradisiaca","Musa paradisiaca","Musa",NA,NA,"Musaparad","species","forb",NA
"745","Mutingia sp","Muntingia sp","Muntingia","Muntingia",NA,NA,"Muntsp","genus",NA,NA
"746","Myrcia cf paivae","Myrcia paivae","Myrcia paivae","Myrcia","Myrtaceae",NA,"Myrcpaiva","species","tree",NA
"747","Myrcia fallax","Myrcia fallax","Myrcia fallax","Myrcia","Myrtaceae","tree","Myrcfall","species","tree",NA
"748","Myrcia ovalifolia","Myrcia ovalifolia","Myrcia ovalifolia","Myrcia","Myrtaceae",NA,"Myrcovali","species","tree",NA
"749","Myrcia popayanensis","Myrcia popayanensis","Myrcia popayanensis","Myrcia","Myrtaceae",NA,"Myrcpopay","species",NA,NA
"750","Myrcia sp","Myrcia sp","Myrcia","Myrcia","Myrtaceae","tree","Myrcsp2","genus","tree",NA
"751","Myrcia splendens","Myrcia splendens","Myrcia splendens","Myrcia","Myrtaceae","treelet","Myrcsple","species","treelet",NA
"752","Myrcianthes leucoxyla","Myrcianthes leucoxyla","Myrcianthes leucoxyla","Myrcianthes",NA,NA,"Myrcleuco","species",NA,NA
"753","Myrcianthes sp","Myrcianthes sp","Myrcianthes","Myrcianthes",NA,NA,"Myrcsp","genus",NA,NA
"754","Myriocarpa longipes","Myriocarpa longipes","Myriocarpa longipes","Myriocarpa","Urticaceae",NA,"Myrilongi","species","tree",NA
"755","Myriocarpa sp","Myriocarpa sp","Myriocarpa","Myriocarpa","Urticaceae",NA,"Myrisp","genus",NA,NA
"756","Myrospermum frutescens","Myrospermum frutescens","Myrospermum frutescens","Myrospermum","Fabaceae","tree","Myrofrut","species","tree",NA
"757","Myrospermum fruticosum","Myrospermum frutescens","Myrospermum frutescens","Myrospermum","Fabaceae","tree","Myrofrut","species","tree",NA
"758","Myroxylon balsamum","Myroxylon balsamum","Myroxylon balsamum","Myroxylon",NA,NA,"Myrobalsa","species","tree",NA
"759","Myroxylum frutescens","Myroxylum frutescens","Myroxylum","Myroxylum",NA,NA,"Myrosp","genus",NA,NA
"760","Myrsiana sp","Myrsine sp","Myrsine","Myrsine","Primulaceae","treelet","Myrssp","genus","treelet",NA
"761","Myrsianthes sp","Myrcianthes sp","Myrcianthes","Myrcianthes",NA,NA,"Myrcsp","genus",NA,NA
"762","Myrsinaceae sp","Myrsinaceae","Myrsinaceae","Myrsinaceae",NA,NA,"Myrsfm","family",NA,NA
"763","Myrsine guianensis","Myrsine guianensis","Myrsine guianensis","Myrsine","Primulaceae","tree","Myrsguia","species","tree",NA
"764","Myrsine sp","Myrsine sp","Myrsine","Myrsine","Primulaceae","treelet","Myrssp","genus","treelet",NA
"765","Myrtaceae frutos rojos","Myrtaceae","Myrtaceae","Myrtaceae",NA,NA,"Myrtfm","family",NA,NA
"766","Myrtaceae sp","Myrtaceae","Myrtaceae","Myrtaceae",NA,NA,"Myrtfm","family",NA,NA
"767","Nadroanthus billbergii","Nadroanthus billbergii","Handroanthus billbergii","Handroanthus","Bignoniaceae","tree","Handbill","species","tree",NA
"768","Nectandra cuspidata","Nectandra cuspidata","Nectandra cuspidata","Nectandra","Lauraceae","tree","Nectcusp","species","tree",NA
"769","Nectandra membranacea","Nectandra membranacea","Nectandra membranacea","Nectandra","Lauraceae",NA,"Nectmembr","species","tree",NA
"770","Nectandra pichurim","Nectandra pichurim","Nectandra pichurim","Nectandra","Lauraceae",NA,"Nectpichu","species",NA,NA
"771","Nectandra purpurea","Nectandra purpurea","Nectandra purpurea","Nectandra","Lauraceae",NA,"Nectpurpu","species","tree",NA
"772","Nectandra sp","Nectandra sp","Nectandra","Nectandra","Lauraceae","tree","Nectsp","genus","tree",NA
"773","Nectandra turbacensis","Nectandra turbacensis","Nectandra turbacensis","Nectandra","Lauraceae",NA,"Nectturba","species","tree",NA
"774","Neea amplifolia","Neea amplifolia","Neea amplifolia","Neea","Nyctaginaceae",NA,"Neeaampli","species",NA,NA
"775","Neea nigricans","Neea nigricans","Neea nigricans","Neea","Nyctaginaceae",NA,"Neeanigri","species",NA,NA
"776","Neea sp","Neea sp","Neea","Neea","Nyctaginaceae","tree","Neeasp","genus","tree",NA
"777","Nicotiana tabacum","Nicotiana tabacum","Nicotiana tabacum","Nicotiana",NA,NA,"Nicotabac","species","shrub",NA
"778","Nigtagnaceae sp","Nyctaginaceae","Nyctaginaceae","Nyctaginaceae",NA,NA,"Nyctfm","family",NA,NA
"779","Ocetea cernua","Ocetea cernua","Ocotea cernua","Ocotea","Lauraceae",NA,"Ocotcernu","species","tree",NA
"780","Ochiona pyr","Ochroma pyramidale","Ochroma pyramidale","Ochroma","Malvaceae","tree","Ochrpyra","species","tree",NA
"781","Ochoroma sp","Ochroma sp","Ochroma","Ochroma","Malvaceae",NA,"Ochrsp","genus",NA,NA
"782","Ochrama lagpus","Ochroma lagopus","Ochroma lagopus","Ochroma","Malvaceae",NA,"Ochrlagop","species","tree",NA
"783","Ochroma lagopus","Ochroma lagopus","Ochroma lagopus","Ochroma","Malvaceae",NA,"Ochrlagop","species","tree",NA
"784","Ochroma pyramidal","Ochroma pyramidale","Ochroma pyramidale","Ochroma","Malvaceae","tree","Ochrpyra","species","tree",NA
"785","Ochroma pyramidale","Ochroma pyramidale","Ochroma pyramidale","Ochroma","Malvaceae","tree","Ochrpyra","species","tree",NA
"786","Ochroma pyramidalis","Ochroma pyramidale","Ochroma pyramidale","Ochroma","Malvaceae","tree","Ochrpyra","species","tree",NA
"787","Ochroma sp","Ochroma sp","Ochroma","Ochroma","Malvaceae",NA,"Ochrsp","genus",NA,NA
"788","Ochronia pfuami","Indeterminado",NA,NA,NA,"tree","NN","species","tree",NA
"789","Ocotea bofo","Ocotea bofo","Ocotea bofo","Ocotea","Lauraceae","tree","Ocotbofo","species","tree",NA
"790","Ocotea cernua","Ocotea cernua","Ocotea cernua","Ocotea","Lauraceae",NA,"Ocotcernu","species","tree",NA
"791","Ocotea cf cernua","Ocotea cernua","Ocotea cernua","Ocotea","Lauraceae",NA,"Ocotcernu","species","tree",NA
"792","Ocotea guianensis uvalata","Ocotea guianensis","Ocotea guianensis","Ocotea","Lauraceae",NA,"Ocotguian","species","tree",NA
"793","Ocotea lo","Ocotea longifolia","Ocotea longifolia","Ocotea","Lauraceae",NA,"Ocotlongi","species","tree",NA
"794","Ocotea longifolia","Ocotea longifolia","Ocotea longifolia","Ocotea","Lauraceae",NA,"Ocotlongi","species","tree",NA
"795","Ocotea sp","Ocotea sp","Ocotea","Ocotea","Lauraceae",NA,"Ocotsp","genus",NA,NA
"796","Ocotea veraguensis","Ocotea veraguensis","Ocotea veraguensis","Ocotea","Lauraceae","tree","Ocotvera","species","tree",NA
"797","Odontadenia cf grandiflora","Odontadenia grandiflora","Odontadenia grandiflora","Odontadenia",NA,NA,"Odongrand","species","liana",NA
"798","Oenocarpus minor","Oenocarpus minor","Oenocarpus minor","Oenocarpus",NA,NA,"Oenominor","species","forb",NA
"799","Opuntia caracasana","Opuntia caracassana","Opuntia caracassana","Opuntia","Cactaceae",NA,"Opuncarac","species",NA,NA
"800","Opuntia caracassana","Opuntia caracassana","Opuntia caracassana","Opuntia","Cactaceae",NA,"Opuncarac","species",NA,NA
"801","Opuntia dilenii","Opuntia dillenii","Opuntia dillenii","Opuntia","Cactaceae",NA,"Opundille","species","treelet",NA
"802","Opuntia dillenii","Opuntia dillenii","Opuntia dillenii","Opuntia","Cactaceae",NA,"Opundille","species","treelet",NA
"803","Opuntia pittieri","Opuntia pittieri","Opuntia pittieri","Opuntia","Cactaceae",NA,"Opunpitti","species",NA,NA
"804","Opuntia sp","Opuntia sp","Opuntia","Opuntia","Cactaceae","cactus","Opunsp","genus","cactus",NA
"805","Oreopanax acerifolius","Oreopanax acerifolius","Oreopanax acerifolius","Oreopanax",NA,NA,"Oreoaceri","species",NA,NA
"806","Oreopanax cf cecropifolius","Oreopanax cecropifolius","Oreopanax cecropifolius","Oreopanax",NA,NA,"Oreocecro","species",NA,NA
"807","Oreopanax sp","Oreopanax sp","Oreopanax","Oreopanax",NA,NA,"Oreosp","genus",NA,NA
"808","Ormosia macrocalyx","Ormosia macrocalyx","Ormosia macrocalyx","Ormosia",NA,NA,"Ormomacro","species","tree",NA
"809","Ouratea sp","Ouratea sp","Ouratea","Ouratea","Ochnaceae","tree","Ourasp","genus","tree",NA
"810","Pachira cf orinocensis","Pachira orinocensis","Pachira orinocensis","Pachira","Malvaceae",NA,"Pachorino","species",NA,NA
"811","Pachira quinata","Pachira quinata","Pachira quinata","Pachira","Malvaceae","tree","Pachquin","species","tree",NA
"812","Pachira sp","Pachira sp","Pachira","Pachira","Malvaceae",NA,"Pachsp","genus",NA,NA
"813","Palicourea sp","Palicourea sp","Palicourea","Palicourea","Rubiaceae","shrub","Palisp","genus","shrub",NA
"814","Palma foto","Arecaceae","Arecaceae","Arecaceae",NA,NA,"Arecfm","family",NA,NA
"815","Palma sp","Arecaceae","Arecaceae","Arecaceae",NA,NA,"Arecfm","family",NA,NA
"816","Panicum maximum","Panicum maximum","Panicum maximum","Panicum",NA,NA,"Panimaxim","species","treelet",NA
"817","Paradosia colombiana","Paradosia colombiana","Pradosia colombiana","Pradosia","Sapotaceae","tree","Pradcolo","species","tree",NA
"818","Parinari cf excelsa","Parinari excelsa","Parinari excelsa","Parinari",NA,NA,"Pariexcel","species","tree",NA
"819","Parinari excelsa","Parinari excelsa","Parinari excelsa","Parinari",NA,NA,"Pariexcel","species","tree",NA
"820","Parinari pachyphylla","Parinari pachyphylla","Parinari pachyphylla","Parinari",NA,NA,"Paripachy","species",NA,NA
"821","Parkia pendula","Parkia pendula","Parkia pendula","Parkia",NA,NA,"Parkpendu","species","tree",NA
"822","Parkinsonia aculeata","Parkinsonia aculeata","Parkinsonia aculeata","Parkinsonia",NA,NA,"Parkacule","species","tree",NA
"823","Parkinsonia sp","Parkinsonia sp","Parkinsonia","Parkinsonia",NA,NA,"Parksp","genus",NA,NA
"824","Paspalum virgatum","Paspalum virgatum","Paspalum virgatum","Paspalum",NA,NA,"Paspvirga","species","forb",NA
"825","Passiflora edulis","Passiflora edulis","Passiflora edulis","Passiflora",NA,NA,"Passeduli","species","liana","LC"
"826","Passiflora sphaerocarpa","Passiflora sphaerocarpa","Passiflora sphaerocarpa","Passiflora",NA,NA,"Passsphae","species",NA,NA
"827","Pastos sp","Graminea","Graminea","Graminea",NA,NA,"Gramsp","genus",NA,NA
"828","Paullinia sp","Paullinia sp","Paullinia","Paullinia","Sapindaceae","liana","Paulsp","genus","liana",NA
"829","Pavonia sepium","Pavonia sepium","Pavonia sepium","Pavonia",NA,NA,"Pavosepiu","species","treelet",NA
"830","Payande sp","Pithecellobium sp","Pithecellobium","Pithecellobium","Fabaceae","treelet","Pithsp","genus","treelet",NA
"831","Peltogyne cf floribunda","Peltogyne floribunda","Peltogyne floribunda","Peltogyne","Fabaceae",NA,"Peltflori","species","tree",NA
"832","Peltogyne floribunda","Peltogyne floribunda","Peltogyne floribunda","Peltogyne","Fabaceae",NA,"Peltflori","species","tree",NA
"833","Peltogyne purpurea","Peltogyne purpurea","Peltogyne purpurea","Peltogyne","Fabaceae","tree","Peltpurp","species","tree",NA
"834","Peperomia sp","Peperomia sp","Peperomia","Peperomia",NA,NA,"Pepesp","genus",NA,NA
"835","Pera arborea","Pera arborea","Pera arborea","Pera","Euphorbiaceae",NA,"Peraarbor","species","tree",NA
"836","Pereskia guamacho","Pereskia guamacho","Pereskia guamacho","Pereskia","Cactaceae","treelet","Pereguam","species","treelet",NA
"837","Persea caerulea","Persea caerulea","Persea caerulea","Persea",NA,NA,"Perscaeru","species",NA,NA
"838","Persea cf caerulea","Persea caerulea","Persea caerulea","Persea",NA,NA,"Perscaeru","species",NA,NA
"839","Petogyne cf floribunda","Petogyne floribunda","Peltogyne floribunda","Peltogyne","Fabaceae",NA,"Peltflori","species","tree",NA
"840","Petogyne cf floribunda ","Petogyne floribunda","Peltogyne floribunda","Peltogyne","Fabaceae",NA,"Peltflori","species","tree",NA
"841","Petre sp","Petrea sp","Petrea","Petrea","Verbenaceae","tree","Petrsp","genus","tree",NA
"842","Petrea pubescens","Petrea pubescens","Petrea pubescens","Petrea","Verbenaceae","tree","Petrpube","species","tree",NA
"843","Phitecellobium dulcei","Pithecellobium dulce","Pithecellobium dulce","Pithecellobium","Fabaceae","tree","Pithdulc","species","tree",NA
"844","Phitecellobium sp","Pithecellobium sp","Pithecellobium","Pithecellobium","Fabaceae","treelet","Pithsp","genus","treelet",NA
"845","Phyll sp","Indeterminado",NA,NA,NA,"tree","NN","species","tree",NA
"846","Phyllanthus acuminatus","Phyllanthus acuminatus","Phyllanthus acuminatus","Phyllanthus","Phyllanthaceae",NA,"Phylacumi","species","tree",NA
"847","Phyllanthus elsiae","Phyllanthus elsiae","Phyllanthus elsiae","Phyllanthus","Phyllanthaceae",NA,"Phylelsia","species","treelet",NA
"848","Phyllanthus salviifolius","Phyllanthus salviifolius","Phyllanthus salviifolius","Phyllanthus","Phyllanthaceae",NA,"Phylsalvi","species",NA,NA
"849","Phyllanthus sp","Phyllanthus sp","Phyllanthus","Phyllanthus","Phyllanthaceae",NA,"Phylsp","genus",NA,NA
"850","Phyllostylon brasiliense","Phyllostylon brasiliense","Phyllostylon brasiliense","Phyllostylon","Ulmaceae",NA,"Phylbrasi","species","tree",NA
"851","Phyllostylon rhamnoides","Phyllostylon rhamnoides","Phyllostylon rhamnoides","Phyllostylon","Ulmaceae","tree","Phylrham","species","tree","NT"
"852","Phyllostylon rhmanoides","Phyllostylon rhamnoides","Phyllostylon rhamnoides","Phyllostylon","Ulmaceae","tree","Phylrham","species","tree","NT"
"853","Phytecellobium sp","Pithecellobium sp","Pithecellobium","Pithecellobium","Fabaceae","treelet","Pithsp","genus","treelet",NA
"854","Phythecelobium dulce","Pithecellobium dulce","Pithecellobium dulce","Pithecellobium","Fabaceae","tree","Pithdulc","species","tree",NA
"855","Pilocereus sp","Pilocereus sp","Pilocereus","Pilocereus",NA,NA,"Pilosp","genus",NA,NA
"856","Pilosocereus colombianus","Pilosocereus colombianus","Pilosocereus colombianus","Pilosocereus","Cactaceae",NA,"Pilocolom","species",NA,NA
"857","Pinguyo sp","Indeterminado",NA,NA,NA,"tree","NN","species","tree",NA
"858","Pinzonia sp","Pinzonia sp","Pinzonia","Pinzonia",NA,NA,"Pinzsp","genus",NA,NA
"859","Piper aduncum","Piper aduncum","Piper aduncum","Piper","Piperaceae",NA,"Pipeadunc","species","tree",NA
"860","Piper hispidum","Piper hispidum","Piper hispidum","Piper","Piperaceae",NA,"Pipehispi","species","treelet",NA
"861","Piper marginatum","Piper marginatum","Piper marginatum","Piper","Piperaceae",NA,"Pipemargi","species","treelet",NA
"862","Piper sp","Piper sp","Piper","Piper","Piperaceae","treelet","Pipesp","genus","treelet",NA
"863","Piptadenia comunis","Piptadenia communis","Piptadenia communis","Piptadenia","Fabaceae",NA,"Piptcommu","species","tree","LC"
"864","Piptadenia comunnis","Piptadenia communis","Piptadenia communis","Piptadenia","Fabaceae",NA,"Piptcommu","species","tree","LC"
"865","Piptadenia flava","Piptadenia flava","Piptadenia flava","Piptadenia","Fabaceae","treelet","Piptflav","species","treelet",NA
"866","Piptadenia gonoacantha","Piptadenia gonoacantha","Piptadenia gonoacantha","Piptadenia","Fabaceae",NA,"Piptgonoa","species","tree","LC"
"867","Piptadenia peregrina","Piptadenia peregrina","Piptadenia peregrina","Piptadenia","Fabaceae",NA,"Piptpereg","species","tree",NA
"868","Piptadenia sp","Piptadenia sp","Piptadenia","Piptadenia","Fabaceae","tree","Piptsp","genus","tree",NA
"869","Piptocoma discolor","Piptocoma discolor","Piptocoma discolor","Piptocoma","Asteraceae","tree","Piptdisc","species","tree",NA
"870","Piranhea trifoliata","Piranhea trifoliata","Piranhea trifoliata","Piranhea",NA,NA,"Piratrifo","species","tree",NA
"871","Pisonia aculleata","Pisonia aculleata","Pisonia aculeata","Pisonia","Nyctaginaceae","liana","Pisoacul","species","liana",NA
"872","Pisonia pacurero","Pisonia pacurero","Pisonia pacurero","Pisonia","Nyctaginaceae",NA,"Pisopacur","species",NA,NA
"873","Pitadenia flava","Pitadenia flava","Piptadenia flava","Piptadenia","Fabaceae","treelet","Piptflav","species","treelet",NA
"874","Pitadenia gonoacantha","Pitadenia gonoacantha","Piptadenia gonoacantha","Piptadenia","Fabaceae",NA,"Piptgonoa","species","tree","LC"
"875","Pitcairnia karatas","Pitcairnia karatas","Pitcairnia","Pitcairnia",NA,NA,"Pitcsp","genus",NA,NA
"876","Pitcairnia pruinosa","Pitcairnia pruinosa","Pitcairnia pruinosa","Pitcairnia",NA,NA,"Pitcpruin","species",NA,NA
"877","Pitcairnia sp","Pitcairnia sp","Pitcairnia","Pitcairnia",NA,NA,"Pitcsp","genus",NA,NA
"878","Pith sp","Pithecellobium sp","Pithecellobium","Pithecellobium","Fabaceae","treelet","Pithsp","genus","treelet",NA
"879","Pithecellobium dulce","Pithecellobium dulce","Pithecellobium dulce","Pithecellobium","Fabaceae","tree","Pithdulc","species","tree",NA
"880","Pithecellobium dulcei","Pithecellobium dulce","Pithecellobium dulce","Pithecellobium","Fabaceae","tree","Pithdulc","species","tree",NA
"881","Pithecellobium forfex","Pithecellobium forfex","Pithecellobium forfex","Pithecellobium","Fabaceae",NA,"Pithforfe","species",NA,NA
"882","Pithecellobium lanceolatum","Pithecellobium lanceolatum","Pithecellobium lanceolatum","Pithecellobium","Fabaceae","tree","Pithlanc","species","tree",NA
"883","Pithecellobium roseum","Pithecellobium roseum","Pithecellobium roseum","Pithecellobium","Fabaceae","tree","Pithrose","species","tree",NA
"884","Pithecellobium sp","Pithecellobium sp","Pithecellobium","Pithecellobium","Fabaceae","treelet","Pithsp","genus","treelet",NA
"885","Pithecellpbium dulcei","Pithecellobium dulce","Pithecellobium dulce","Pithecellobium","Fabaceae","tree","Pithdulc","species","tree",NA
"886","Pithecelobium sp","Pithecellobium sp","Pithecellobium","Pithecellobium","Fabaceae","treelet","Pithsp","genus","treelet",NA
"887","Pithelephas sp","Phytelephas sp","Phytelephas","Phytelephas",NA,NA,"Phytsp","genus",NA,NA
"888","Plat sp","Indeterminado",NA,NA,NA,"tree","NN","species","tree",NA
"889","Platycarpum orinocense","Platycarpum orinocense","Platycarpum orinocense","Platycarpum",NA,NA,"Platorino","species",NA,NA
"890","Platymiscium pinnatum","Platymiscium pinnatum","Platymiscium pinnatum","Platymiscium","Fabaceae","tree","Platpinn","species","tree",NA
